#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.330375E-12
#47368_029_2-S_MAIN0_Interstrip_092023
#Date/Time: 9/20/2023 2:26:10 PM
#Sensor Name: 47368_029_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
15	3778079251.476575	2.448955	23.500000	25.972577	-1.862900E-7	5.999248E-12	-7.686657E-11	-9.165933E-11	-1.078414E-10
30	3778079275.748645	2.741682	23.500000	26.065852	-1.858300E-7	5.995787E-12	-7.642746E-11	-9.460079E-11	-1.097287E-10
45	3778079300.690410	3.006034	23.500000	26.067636	-1.857800E-7	5.995420E-12	-7.782995E-11	-9.553337E-11	-1.107934E-10
60	3778079325.608535	2.851533	23.500000	26.063792	-1.857500E-7	5.999610E-12	-7.065403E-11	-8.843587E-11	-1.042872E-10
75	3778079350.531817	2.763463	23.500000	26.088860	-1.858500E-7	5.998860E-12	-7.825316E-11	-9.419407E-11	-1.116127E-10
90	3778079375.432614	2.802897	23.500000	26.103722	-1.859100E-7	6.001377E-12	-7.019464E-11	-8.735785E-11	-1.033106E-10
105	3778079400.261527	2.838580	23.500000	26.123678	-1.857700E-7	6.000225E-12	-7.659701E-11	-9.127670E-11	-1.108172E-10
120	3778079425.066256	2.859278	23.500000	26.115987	-1.858900E-7	6.002468E-12	-7.536584E-11	-8.961351E-11	-1.070579E-10
135	3778079449.841744	2.705428	23.500000	26.100353	-1.858100E-7	6.001355E-12	-8.103080E-11	-1.003251E-10	-1.161937E-10
150	3778079474.658829	2.588598	23.500000	26.108657	-1.857100E-7	6.000973E-12	-7.135690E-11	-8.899590E-11	-1.072349E-10
165	3778079499.498873	2.565891	23.500000	26.106436	-1.857500E-7	6.001795E-12	-6.643127E-11	-8.472631E-11	-1.000694E-10
180	3778079524.451911	2.551933	23.500000	26.136636	-1.855000E-7	6.002090E-12	-6.351674E-11	-8.323101E-11	-9.972818E-11
195	3778079549.394465	2.525127	23.500000	26.121319	-1.856100E-7	6.003005E-12	-7.193694E-11	-8.914330E-11	-1.079652E-10
210	3778079574.310746	2.311580	23.500000	26.113688	-1.855900E-7	6.003553E-12	-6.878093E-11	-8.762818E-11	-1.066075E-10
225	3778079599.146974	2.262666	23.500000	26.130852	-1.856800E-7	6.002612E-12	-7.329935E-11	-9.232304E-11	-1.095852E-10
240	3778079623.969374	2.390125	23.500000	26.153938	-1.858000E-7	6.003255E-12	-7.666792E-11	-9.454897E-11	-1.126678E-10
255	3778079648.782630	2.224361	23.500000	26.124865	-1.856500E-7	6.003507E-12	-6.663404E-11	-8.362432E-11	-1.039127E-10
270	3778079673.561007	2.259928	23.500000	26.172803	-1.855300E-7	6.002803E-12	-7.246782E-11	-8.953682E-11	-1.079905E-10
285	3778079698.499292	2.277126	23.500000	26.176369	-1.853500E-7	6.003840E-12	-7.948862E-11	-9.950224E-11	-1.179925E-10
300	3778079723.308866	2.176839	23.500000	26.151519	-1.855700E-7	6.003893E-12	-7.400853E-11	-9.231668E-11	-1.118813E-10
315	3778079748.126119	2.104963	23.500000	26.160299	-1.854100E-7	6.004043E-12	-6.633005E-11	-8.429983E-11	-1.052439E-10
330	3778079773.089628	2.044075	23.500000	26.171870	-1.854600E-7	6.004737E-12	-7.272381E-11	-9.028493E-11	-1.108163E-10
345	3778079797.965445	2.104847	23.500000	26.177777	-1.853600E-7	6.003707E-12	-6.523730E-11	-8.335755E-11	-1.019942E-10
360	3778079822.933994	2.041550	23.500000	26.175873	-1.854200E-7	6.006403E-12	-7.273771E-11	-9.043353E-11	-1.099035E-10
