#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.330640E-12
#47368_015_2-S_MAIN0_Interstrip_091923
#Date/Time: 9/19/2023 3:30:39 PM
#Sensor Name: 47368_015_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
195	3777997018.548459	2.706690	23.500000	25.870501	-1.848500E-7	6.006395E-12	-7.677341E-11	-9.302521E-11	-1.127210E-10
210	3777997043.499236	2.557685	23.500000	25.874345	-1.847800E-7	6.004152E-12	-7.890884E-11	-9.923085E-11	-1.158703E-10
225	3777997068.439534	2.589414	23.500000	25.868242	-1.848300E-7	6.004342E-12	-8.115526E-11	-9.771556E-11	-1.156845E-10
240	3777997093.274633	2.657727	23.500000	25.907182	-1.846800E-7	6.004825E-12	-8.035528E-11	-9.502038E-11	-1.155853E-10
255	3777997118.111026	2.516485	23.500000	25.902008	-1.847200E-7	6.007265E-12	-7.471306E-11	-9.362219E-11	-1.107112E-10
270	3777997142.935825	2.388811	23.500000	25.912213	-1.847300E-7	6.006820E-12	-7.891844E-11	-9.702434E-11	-1.155495E-10
285	3777997167.754681	2.425048	23.500000	25.912868	-1.848200E-7	6.006065E-12	-7.465421E-11	-9.465832E-11	-1.115447E-10
300	3777997192.577003	2.363091	23.500000	25.925808	-1.849800E-7	6.003825E-12	-8.140751E-11	-9.944817E-11	-1.169941E-10
315	3777997217.437621	2.318492	23.500000	25.923114	-1.848300E-7	6.005582E-12	-8.053091E-11	-1.006469E-10	-1.195037E-10
330	3777997242.375212	2.440369	23.500000	25.950836	-1.847400E-7	6.006057E-12	-8.426222E-11	-1.015640E-10	-1.195135E-10
345	3777997267.357018	2.192215	23.500000	25.957634	-1.846600E-7	6.005865E-12	-8.275158E-11	-9.864434E-11	-1.177150E-10
360	3777997292.291833	2.209494	23.500000	25.958169	-1.846300E-7	6.007803E-12	-7.522560E-11	-9.155755E-11	-1.121169E-10
375	3777997317.088867	2.129265	23.500000	25.972158	-1.848300E-7	6.006860E-12	-7.646803E-11	-9.324010E-11	-1.131414E-10
390	3777997341.930652	2.183452	23.500000	25.986566	-1.847500E-7	6.007407E-12	-7.936617E-11	-9.988330E-11	-1.178003E-10
405	3777997366.854026	2.148413	23.500000	25.979530	-1.847000E-7	6.005822E-12	-7.531843E-11	-9.360687E-11	-1.149655E-10
420	3777997391.717554	2.178695	23.500000	25.985158	-1.848000E-7	6.004222E-12	-7.823851E-11	-9.688469E-11	-1.140489E-10
435	3777997416.579588	2.110090	23.500000	26.005551	-1.845600E-7	6.003332E-12	-7.598264E-11	-9.235099E-11	-1.140211E-10
450	3777997441.682365	2.094224	23.500000	25.992353	-1.847300E-7	6.003845E-12	-7.230454E-11	-9.313542E-11	-1.129448E-10
465	3777997466.512412	2.086739	23.500000	26.027171	-1.848500E-7	6.002178E-12	-7.160514E-11	-8.925245E-11	-1.098996E-10
480	3777997491.457009	2.056444	23.500000	26.012190	-1.847000E-7	6.003250E-12	-7.888781E-11	-9.659419E-11	-1.165402E-10
495	3777997516.284151	2.010238	23.500000	26.037535	-1.846600E-7	6.001843E-12	-8.223820E-11	-1.031429E-10	-1.201231E-10
