#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.331093E-12
#47368_021_2-S_MAIN0_Interstrip_092023
#Date/Time: 9/20/2023 10:22:48 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
255	3778065046.180147	2.455307	23.500000	26.293704	-1.958400E-7	5.996115E-12	-8.133764E-11	-9.964087E-11	-1.179042E-10
270	3778065070.974978	2.289992	23.500000	26.294873	-1.960300E-7	5.996145E-12	-8.141453E-11	-1.007615E-10	-1.162716E-10
285	3778065095.782184	2.292581	23.500000	26.303631	-1.956600E-7	5.995483E-12	-8.333383E-11	-9.861683E-11	-1.172369E-10
300	3778065120.604348	2.316440	23.500000	26.309457	-1.959700E-7	5.996270E-12	-8.534536E-11	-1.040471E-10	-1.218655E-10
315	3778065145.410605	2.256086	23.500000	26.316751	-1.958700E-7	5.995540E-12	-8.108150E-11	-1.004486E-10	-1.167684E-10
330	3778065170.205859	2.193512	23.500000	26.300301	-1.958700E-7	5.995027E-12	-8.428369E-11	-1.038841E-10	-1.212966E-10
345	3778065195.157994	2.127525	23.500000	26.313382	-1.959700E-7	5.995875E-12	-8.801562E-11	-1.058345E-10	-1.253088E-10
360	3778065219.962688	2.109303	23.500000	26.304247	-1.958500E-7	5.993690E-12	-8.764781E-11	-1.054661E-10	-1.226319E-10
375	3778065244.919119	2.128262	23.500000	26.322813	-1.959300E-7	5.994802E-12	-8.505117E-11	-1.002861E-10	-1.224379E-10
390	3778065269.730550	2.052177	23.500000	26.336390	-1.957400E-7	5.993810E-12	-8.602923E-11	-1.068927E-10	-1.249686E-10
405	3778065294.658893	2.022153	23.500000	26.352322	-1.956900E-7	5.993582E-12	-8.362433E-11	-1.044898E-10	-1.228072E-10
420	3778065319.473496	2.066629	23.500000	26.324953	-1.958300E-7	5.993208E-12	-8.630176E-11	-1.059380E-10	-1.264485E-10
435	3778065344.280285	1.984537	23.500000	26.304405	-1.958100E-7	5.992058E-12	-8.773141E-11	-1.054492E-10	-1.237558E-10
450	3778065369.226263	2.008139	23.500000	26.325826	-1.959400E-7	5.992537E-12	-8.787677E-11	-1.066553E-10	-1.254589E-10
465	3778065394.297699	2.009817	23.500000	26.314709	-1.959000E-7	5.990750E-12	-8.700297E-11	-1.075023E-10	-1.256611E-10
