#Open Capacitance 1000Hz:4.557637E-12
#Open Capacitance 1000000Hz:Not Measured
#47368_015_2-S_MAIN0_Single_091923
#Date/Time: 9/19/2023 4:42:37 PM
#Sensor Name: 47368_015_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
44	3778001209.440382	2.671786	23.500000	26.755668	-1.848600E-7	-8.442388E-11	1.492300E-10	-8.694168E-11	-8.721012E-11	-8.627479E-11	-8.677831E-11	-8.680123E-11	-8.686000E-11	-6.555421E-7	-3.276024E-6
48	3778001226.607866	3.005559	23.500000	26.752756	-1.847300E-7	-1.273105E-11	1.492258E-10	-8.600429E-11	-8.556250E-11	-8.725425E-11	-8.702097E-11	-8.646050E-11	-8.651263E-11	-6.575538E-7	-3.286571E-6
52	3778001243.771152	2.871489	23.500000	26.753608	-1.846100E-7	-1.012457E-10	1.491502E-10	-7.613973E-11	-7.778467E-11	-7.982952E-11	-7.688555E-11	-7.765987E-11	-7.733511E-11	-6.581937E-7	-3.290075E-6
56	3778001261.234335	2.907504	23.500000	26.776257	-1.847700E-7	-9.163328E-11	1.491858E-10	-8.366241E-11	-8.545330E-11	-8.621692E-11	-8.589452E-11	-8.530679E-11	-8.567391E-11	-6.596779E-7	-3.296850E-6
60	3778001278.368844	2.954307	23.500000	26.776616	-1.846100E-7	-9.613912E-11	1.492173E-10	-8.257989E-11	-8.284157E-11	-8.143113E-11	-8.226363E-11	-8.227906E-11	-8.242176E-11	-6.602890E-7	-3.299804E-6
64	3778001295.509178	2.907767	23.500000	26.707434	-1.846100E-7	-9.668991E-11	1.491742E-10	-8.584080E-11	-8.487518E-11	-8.391921E-11	-8.394944E-11	-8.464616E-11	-8.441231E-11	-6.560098E-7	-3.279150E-6
68	3778001312.658861	2.808441	23.500000	26.700797	-1.847500E-7	-8.375856E-12	1.491755E-10	-8.232495E-11	-8.330092E-11	-8.358635E-11	-8.367551E-11	-8.322193E-11	-8.344364E-11	-6.555367E-7	-3.276284E-6
72	3778001330.072398	3.009259	23.500000	26.684309	-1.847600E-7	-4.627436E-11	1.491220E-10	-8.553735E-11	-8.500294E-11	-8.400384E-11	-8.484412E-11	-8.484706E-11	-8.492353E-11	-6.572683E-7	-3.285153E-6
76	3778001347.216638	2.780556	23.500000	26.671190	-1.847700E-7	-1.573469E-11	1.491492E-10	-7.826042E-11	-7.911540E-11	-7.687122E-11	-7.761377E-11	-7.796520E-11	-7.793710E-11	-6.585011E-7	-3.290713E-6
80	3778001364.334685	2.704822	23.500000	26.675610	-1.848000E-7	-9.393639E-11	1.491725E-10	-8.220819E-11	-8.121685E-11	-8.456379E-11	-8.228059E-11	-8.256735E-11	-8.224439E-11	-6.606215E-7	-3.301991E-6
84	3778001381.756116	2.598748	23.500000	26.726756	-1.845000E-7	-3.946553E-11	1.491400E-10	-8.184960E-11	-8.312227E-11	-7.951141E-11	-8.165454E-11	-8.153445E-11	-8.175207E-11	-6.604210E-7	-3.300609E-6
88	3778001398.910683	2.676093	23.500000	26.773345	-1.846800E-7	-8.777833E-11	1.491385E-10	-8.077360E-11	-8.274056E-11	-8.027090E-11	-7.956723E-11	-8.083807E-11	-8.052225E-11	-6.620126E-7	-3.308767E-6
92	3778001416.187494	2.836456	23.500000	26.763556	-1.847200E-7	-1.004948E-10	1.490505E-10	-8.605398E-11	-8.424426E-11	-8.492140E-11	-8.495531E-11	-8.504374E-11	-8.493836E-11	-6.621404E-7	-3.309270E-6
