#Open Capacitance 1000Hz:4.560857E-12
#Open Capacitance 1000000Hz:Not Measured
#47368_021_2-S_MAIN0_Single_092023
#Date/Time: 9/20/2023 11:26:59 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
44	3778068672.062331	2.819641	23.500000	26.933106	-1.957500E-7	-6.473550E-12	1.488118E-10	-9.483473E-11	-9.519129E-11	-9.514427E-11	-9.627505E-11	-9.536133E-11	-9.516778E-11	-6.519082E-7	-3.258270E-6
48	3778068689.353261	2.833055	23.500000	26.937190	-1.958100E-7	-3.290704E-11	1.488225E-10	-8.510606E-11	-8.633335E-11	-8.522774E-11	-8.706894E-11	-8.593402E-11	-8.578054E-11	-6.537529E-7	-3.267492E-6
52	3778068706.514224	2.861065	23.500000	26.915647	-1.957300E-7	-9.884288E-11	1.487705E-10	-8.847162E-11	-8.730486E-11	-8.618411E-11	-8.748336E-11	-8.736099E-11	-8.739411E-11	-6.551322E-7	-3.273929E-6
56	3778068723.635158	2.765421	23.500000	26.880553	-1.958100E-7	-8.337270E-11	1.488280E-10	-9.081676E-11	-9.151476E-11	-8.968192E-11	-8.777731E-11	-8.994769E-11	-9.024934E-11	-6.568957E-7	-3.283571E-6
60	3778068741.110192	2.762632	23.500000	26.844151	-1.957500E-7	-9.563869E-11	1.488718E-10	-8.747789E-11	-9.112535E-11	-8.960327E-11	-8.895597E-11	-8.929062E-11	-8.927962E-11	-6.585365E-7	-3.291276E-6
64	3778068758.346685	2.705698	23.500000	26.850153	-1.957400E-7	-9.188387E-11	1.488453E-10	-8.916225E-11	-9.004136E-11	-8.982485E-11	-8.692728E-11	-8.898894E-11	-8.949355E-11	-6.552698E-7	-3.274661E-6
68	3778068775.680151	2.762510	23.500000	26.899221	-1.958500E-7	-2.439597E-11	1.488642E-10	-8.879487E-11	-8.918658E-11	-8.796665E-11	-8.963246E-11	-8.889514E-11	-8.899072E-11	-6.550084E-7	-3.273896E-6
72	3778068792.948223	2.934548	23.500000	26.910753	-1.959500E-7	-7.786562E-11	1.488150E-10	-8.557911E-11	-8.317325E-11	-8.216983E-11	-8.560796E-11	-8.413254E-11	-8.437618E-11	-6.576074E-7	-3.286893E-6
76	3778068810.084189	2.976338	23.500000	26.901597	-1.960100E-7	-8.826369E-12	1.488510E-10	-8.271303E-11	-8.102349E-11	-8.117906E-11	-8.488400E-11	-8.244989E-11	-8.194604E-11	-6.596096E-7	-3.296348E-6
80	3778068827.287338	2.783500	23.500000	26.908969	-1.958900E-7	-1.004950E-10	1.488760E-10	-8.391248E-11	-8.556012E-11	-8.654511E-11	-8.591664E-11	-8.548359E-11	-8.573838E-11	-6.631635E-7	-3.314720E-6
84	3778068844.774271	2.714952	23.500000	26.911447	-1.958400E-7	-5.508593E-11	1.488335E-10	-8.251571E-11	-8.408014E-11	-8.509806E-11	-8.188275E-11	-8.339417E-11	-8.329792E-11	-6.639877E-7	-3.318998E-6
88	3778068862.067176	2.913741	23.500000	26.936870	-1.957300E-7	-3.305725E-11	1.488400E-10	-8.986670E-11	-8.650934E-11	-8.727580E-11	-8.822319E-11	-8.796876E-11	-8.774950E-11	-6.661552E-7	-3.329721E-6
92	3778068879.440823	2.748750	23.500000	26.922803	-1.958700E-7	-7.636363E-11	1.487538E-10	-8.828228E-11	-8.660851E-11	-8.934416E-11	-9.037557E-11	-8.865263E-11	-8.881322E-11	-6.664598E-7	-3.331178E-6
96	3778068896.557167	2.788305	23.500000	26.904371	-1.958300E-7	-9.533835E-11	1.488080E-10	-8.470166E-11	-8.431076E-11	-8.352161E-11	-8.250125E-11	-8.375882E-11	-8.391618E-11	-6.645934E-7	-3.321859E-6
100	3778068914.105496	2.762105	23.500000	26.837094	-1.956900E-7	-2.344472E-11	1.488373E-10	-8.874228E-11	-9.111686E-11	-9.293952E-11	-9.332470E-11	-9.153084E-11	-9.202819E-11	-6.641984E-7	-3.320038E-6
104	3778068931.366321	2.567218	23.500000	26.853899	-1.959300E-7	-5.173156E-11	1.487907E-10	-8.271405E-11	-8.262595E-11	-8.162906E-11	-7.994014E-11	-8.172730E-11	-8.212751E-11	-6.671044E-7	-3.334192E-6
